"DS-1 Orbital Battle Station";"Imperial Department of Military Research, Sienar Fleet Systems";"death_star.jpg"
"Lucrehulk-class Droid Control Ship";"Hoersch-Kessel Drive, Inc.";"droid_control_ship.jpg"
"Executor-class star dreadnought";"Kuat Drive Yards, Fondor Shipyards";"executor.jpg"
"Providence-class carrier/destroyer";"Rendili StarDrive, Free Dac Volunteers Engineering corps.";"trade_federation_cruiser.jpg"
"Munificent-class star frigate";"Hoersch-Kessel Drive, Inc, Gwori Revolutionary Industries";"banking_clan_frigte.jpg"
"Imperial I-class Star Destroyer";"Kuat Drive Yards";"star_destroyer.jpg"
"Senator-class Star Destroyer";"Kuat Drive Yards, Allanteen Six shipyards";"republic_attack_cruiser.jpg"
"GR-75 medium transport";"Gallofree Yards, Inc.";"rebel_transport.jpg"
"Acclamator I-class assault ship";"Rothana Heavy Engineering";"republic_assault_ship.jpg"
"EF76 Nebulon-B escort frigate";"Kuat Drive Yards";"ef76_nebulon-b_escort_frigate.jpg"
"CR90 corvette";"Corellian Engineering Corporation";"cr90_corvette.jpg"
"Star Courier";"Republic Sienar Systems";"scimitar.jpg"
"Modified Luxury Sail Barge";"Ubrikkian Industries Custom Vehicle Division";"sail_barge.jpg"
"C-9979 landing craft";"Haor Chall Engineering";"c-9979_landing_craft.jpg"
"Sentinel-class landing craft";"Sienar Fleet Systems, Cyngus Spaceworks";"sentinel-class_landing_craft.jpg"
"Bantha-II";"Ubrikkian Industries";"bantha-ii_cargo_skiff.jpg"
"YT-1300 light freighter";"Corellian Engineering Corporation";"millennium_falcon.jpg"
"Lambda-class T-4a shuttle";"Sienar Fleet Systems";"imperial_shuttle.jpg"
"Firespray-31-class patrol and attack";"Kuat Systems Engineering";"slave_1.jpg"
"Digger Crawler";"Corellia Mining Corporation";"sand_crawler.jpg"
"Theta-class T-2c shuttle";"Cygnus Spaceworks";"theta-class_t-2c_shuttle.jpg"
"Low Altitude Assault Transport/carrier";"Rothana Heavy Engineering";"laat/c.jpg"
"HAVw A6 Juggernaut";"Kuat Drive Yards";"clone_turbo_tank.jpg"
"Multi-Troop Transport";"Baktoid Armor Workshop";"multi-troop_transport.jpg"
"All Terrain Tactical Enforcer";"Rothana Heavy Engineering, Kuat Drive Yards";"at-te.jpg"
"Tribubble bongo";"Otoh Gunga Bongameken Cooperative";"tribubble_bongo.jpg"
"All Terrain Armored Transport";"Kuat Drive Yards, Imperial Department of Military Research";"at-at.jpg"
"Sheathipede-class transport shuttle";"Haor Chall Engineering";"neimoidian_shuttle.jpg"
"Self-Propelled Heavy Artillery";"Rothana Heavy Engineering";"spha.jpg"
"Punworcca 116-class interstellar sloop";"Huppla Pasa Tisc Shipwrights Collective";"solar_sailer.jpg"
"All Terrain Scout Transport";"Kuat Drive Yards, Imperial Department of Military Research";"at-st.jpg"
"Zephyr-G swoop bike";"Mobquet Swoops and Speeders";"zephyr-g_swoop_bike.jpg"
"Low Altitude Assault Transport/infrantry";"Rothana Heavy Engineering";"laat/i.jpg"
"Twin Ion Engine Advanced x1";"Sienar Fleet Systems";"tie_advanced_x1.jpg"
"Belbullab-22 starfighter";"Feethan Ottraw Scalable Assemblies";"belbullab-22_starfighter.jpg"
"BTL Y-wing";"Koensayr Manufacturing";"y-wing.jpg"
"T-65 X-wing";"Incom Corporation";"x-wing.jpg"
"Aggressive Reconnaissance-170 starfighte";"Incom Corporation, Subpro Corporation";"arc-170.jpg"
