NULL;"1"
"Alliance Underground Engineering, Incom Corporation";"1"
"Appazanna Engineering Works";"2"
"Aratech Repulsor Company";"1"
"Baktoid Armor Workshop";"3"
"Baktoid Fleet Ordnance, Haor Chall Engineering";"1"
"Bespin Motors";"1"
"Botajef Shipyards";"1"
"Colla Designs, Phlac-Arphocc Automata Industries";"1"
"Corellia Mining Corporation";"1"
"Corellian Engineering Corporation";"3"
"Cygnus Spaceworks";"1"
"Desler Gizh Outworld Mobility Corporation";"1"
"Feethan Ottraw Scalable Assemblies";"1"
"Gallofree Yards, Inc.";"1"
"Haor Chall Engineering";"2"
"Haor Chall Engineering, Baktoid Armor Workshop";"1"
"Hoersch-Kessel Drive, Inc, Gwori Revolutionary Industries";"1"
"Hoersch-Kessel Drive, Inc.";"1"
"Huppla Pasa Tisc Shipwrights Collective";"3"
"Imperial Department of Military Research, Sienar Fleet Systems";"1"
"Incom Corporation";"3"
"Incom Corporation, Subpro Corporation";"1"
"Koensayr Manufacturing";"1"
"Kuat Drive Yards";"4"
"Kuat Drive Yards, Allanteen Six shipyards";"1"
"Kuat Drive Yards, Fondor Shipyards";"1"
"Kuat Drive Yards, Imperial Department of Military Research";"2"
"Kuat Systems Engineering";"4"
"Mobquet Swoops and Speeders";"1"
"Mon Calamari shipyards";"1"
"Narglatch AirTech prefabricated kit";"1"
"Otoh Gunga Bongameken Cooperative";"1"
"Razalon";"1"
"Rendili StarDrive, Free Dac Volunteers Engineering corps.";"1"
"Republic Sienar Systems";"1"
"Rothana Heavy Engineering";"4"
"Rothana Heavy Engineering, Kuat Drive Yards";"1"
"Sienar Fleet Systems";"5"
"Sienar Fleet Systems, Cyngus Spaceworks";"1"
"Slayn & Korpil";"1"
"SoroSuub Corporation";"1"
"Techno Union";"1"
"Theed Palace Space Vessel Engineering Corps";"2"
"Theed Palace Space Vessel Engineering Corps, Nubia Star Drives";"2"
"Theed Palace Space Vessel Engineering Corps/Nubia Star Drives, Incorporated";"1"
"Ubrikkian Industries";"1"
"Ubrikkian Industries Custom Vehicle Division";"1"
"Z-Gomot Ternbuell Guppat Corporation";"1"
